ACCOUNT_NAME,Sum_Sales,Date,QTY
Kiewit Corporation,22598,30/03/2020,
New York Psychotherapy and Counseling Center,17663,14/06/2024,
"Zayo Group, LLC",5195,21/07/2022,
Nationwide Mutual Insurance Co.,5039,19/03/2019,
"Gilead Sciences, Inc.",13980,27/03/2016,
Copernica Inc. (dba Amplifier),3995,04/11/2016,
"Moore Venture Capital, LLC",3637,08/02/2022,
Raidió Teilifís Éireann,5641,31/08/2020,
"Payer Matrix, LLC",3637,22/01/2022,
MSD K.K.,3662,11/11/2020,
Commonwealth Bank of Australia,7742,13/09/2018,
at800,21828,14/12/2015,
Veradata LLC,19975,13/03/2018,
Alarm.com,4922,20/02/2024,
quantum,3637,16/09/2022,
Cboe Bats LLC,5195,13/06/2023,
Tresidor Investment Management (UK) Ltd,7392,03/12/2019,
NEUCA S.A.,3637,11/04/2018,
London Borough of Waltham Forest,8975,09/11/2021,
"JERA CO., INC.",8804,11/05/2023,
Thomson Reuters Holdings Inc.,1522515,27/11/2021,
Stefan Michaelcheck,0,04/04/2018,
Spartan Technologies,2500,21/08/2017,
ECOSA GROUP (HONG KONG),4562,28/01/2022,
"CMG Strategy Co., LLC",0,15/03/2023,
"BlackRock, Inc.",23665,17/10/2022,
Salud Wireless LLC,3896,08/04/2022,
"Light & Wonder, Inc.",44188,12/11/2016,
State of Colorado - Colorado Department of Education,11421,31/12/2023,
SOUTH32 LIMITED,42656,29/06/2016,
"FIRESTONE BUILDING PRODUCTS COMPANY, LLC",15623,25/06/2021,
CENTRICA SERVICES LIMITED,0,26/07/2018,
SNDL Inc.,20883,01/06/2020,
Tech Data Corporation,23378,30/10/2017,
G-Research,13828,31/12/2020,
Canadian Imperial Bank of Commerce,34562,01/04/2024,
Invesco Holding Co Ltd,5677,21/05/2018,
Goodrich Corporation,4074,01/10/2019,
Electronic Arts,9640,31/03/2016,
Mylan Inc.,4140,18/11/2022,
Scan Health Plan,18000,09/12/2016,
ABB Information Systems Ltd.,30700,30/11/2023,
Aggreko Inc,5195,25/09/2021,
Dentsu International Limited,700628,31/01/2024,
